Food_Code,Food_Description_EN,Food_Description_FR,Alternate_Description_EN,Alternate_Description_FR,Food_Source_Code,USDA_NDB_Code,CNF_Food_Group_Code,Comment_EN,Comment_FR,ScientificName,Food_Last_Updated_Date
5455,"Pasta, fresh-refrigerated, tortellini with cheese filling, as purchased","Pâtes, fraîches-réfrigérées, tortellinis au fromage, tel qu'acheté",,,0,22901,22,,,,2013-02-12
5456,"Sweets, syrup, grenadine","Confiseries, sirop, grenadine",,,12,42040,19,,,,2012-07-03
5457,"Drink, fruit flavour, powder, low calorie, vitamin C, with aspartame","Boisson, saveur de fruits, poudre, hypocalorique, vitamine C, avec aspartame","tang, low in calories, low energy, little energy, low source of calories, low source of energy, artificial sweetener, artificially sweetened","tang, faible en calorie, peu calorique, peu d'énergie, peu de calories, faible valeur énergétique, pauvre en énergie, pauvre en calories, édulcorant artificiel, édulcoré",12,42055,14,,,,2026-01-28
5458,"Salad dressing, creamy, made with sour cream and/or buttermilk and oil, calorie-reduced","Vinaigrette, crémeuse, à base de crème sure et/ou babeurre et/ou huile, réduite en calories",,,12,42116,4,,,,2026-01-28
5459,"Cheese, cheddar, imitation, low cholesterol","Fromage cheddar, immitation, faible en cholestérol",,,12,42117,1,,,,2026-01-28
5462,"Turkey, bacon, cooked","Bacon, dinde, cuit",,,0,07973,5,,,,2026-01-28
5463,"Dessert, frozen, made with skim milk, chocolate","Dessert, congelé, fait avec lait écrémé, chocolat",,,12,42131,19,,,,2012-07-24
5464,"Dessert topping (non dairy), frozen, low fat","Garniture à dessert (non laitière), congelée, faible en gras","low fat, low in fat, little fat, low source of fat, Cool Whip","faible teneur en lipides, pauvre en lipides, peu de lipides, faible teneur en matières grasses, pauvre en matières grasses, peu de matières grasses, faible teneur en gras, pauvre en gras, peu de gras, faible teneur en graisses, pauvre en graisses,  peu de graisses, Cool Whip ",12,42135,1,,,,2026-01-28
5465,"Coffee whitener (non dairy), powdered, light","Colorant à café (non laitier), en poudre, léger",Coffee mate,Coffee mate,12,42136,1,,,,2026-01-28
5466,"Salad dressing, peppercorn dressing, regular","Vinaigrette, grains de poivre, régulière",,,12,42137,4,,,,2017-07-21
5467,"Salad dressing, mayonnaise, reduced fat , cholesterol-free","Vinaigrette, mayonnaise, teneur réduite en gras, sans cholestérol","lower fat, lower in fat, less fat, reduced fat, reduced in fat, fat reduced, ""cholesterol-free"", ""free of cholesterol"", ""no cholesterol"", ""0 cholesterol"", ""zero cholesterol"", ""without cholesterol"" or ""contains no cholesterol""","faible teneur en lipides, pauvre en lipides, peu de lipides, faible teneur en matières grasses, pauvre en matières grasses, peu de matières grasses, faible teneur en gras, pauvre en gras, peu de gras, faible teneur en graisses, pauvre en graisses,  peu de graisses, « sans cholestérol », « 0 cholestérol », « zéro cholestérol », « aucun cholestérol » ou « ne contient pas de cholestérol » ",12,42138,4,,,,2026-01-28
5469,"Salad dressing, Italian, calorie-reduced","Vinaigrette, Italienne, réduite en calories",,,12,42140,4,,,,2026-01-28
5470,"Coffee whitener, liquid, light","Colorant à café, liquide, léger",Coffee mate,Coffee mate,12,42141,1,,,,2026-01-28
5471,"Candies, M&M's peanut butter chocolate candies","Bonbons, M&M's bonbons avec beurre d'arachide et chocolat",candy,bonbon,12,42148,19,,,,2026-01-28
5472,"Juice, Orange-strawberry-banana","Jus, orange-fraise-banane",,,11,42149,9,,,,2018-08-09
5473,"Salad dressing, blue or roquefort cheese dressing, calorie-reduced","Vinaigrette, fromage bleu ou roquefort, réduite en Calories",,,12,42153,4,,,,2013-02-04
